"panel","true_value","rep","ml_width_mu","ml_width_sigma","ml_width_xi"
"mu",7.125,3,2.29655249879513,1.86944120060141,0.150943560430301
"mu",7.125,4,2.15338022069611,1.68525979320215,0.152137644535438
"mu",7.125,5,2.08821282580267,1.68516110586357,0.163211030477642
"mu",7.125,6,2.24705085636567,1.7463653779726,0.1635522223686
"mu",7.125,7,2.15867918750638,1.69482335390457,0.14696394640496
"mu",7.125,8,2.2893396956799,1.90017055824797,0.166552690721849
"mu",7.125,9,2.35634483549707,1.88911487475994,0.150518751504589
"mu",7.125,10,2.22247611797098,1.7909848920245,0.157804633785238
"mu",7.125,11,2.22066859613566,1.79215546823194,0.15809102307402
"mu",7.125,12,2.09973226157733,1.73181995492584,0.169665600370445
"mu",7.125,13,2.09695568885791,1.72627864597845,0.158077017835902
"mu",7.125,14,2.19095171853683,1.76541865986251,0.155768385228357
