panel,true_value,rep,nn_width_mu,nn_width_sigma,nn_width_xi
mu,5.083333333333333,21,1.9917913763467765,1.7220028758601433,0.16474056392908093
mu,5.083333333333333,22,2.154645558819242,1.8877275042690087,0.1520814687013626
mu,5.083333333333333,23,2.491024505337326,2.264439417370566,0.16171694993972777
mu,5.083333333333333,24,2.2201106062127405,2.0645188197824798,0.16553407832980155
mu,5.083333333333333,25,2.340997174430216,2.182317602801886,0.17735528275370593
mu,5.083333333333333,26,2.263220014597276,1.9359554796352434,0.174761326611042
mu,5.083333333333333,27,2.5201960757464583,1.9832110065138266,0.16130409464240075
mu,5.083333333333333,28,2.2148729805499183,1.9453355708074351,0.1666394539177417
mu,5.083333333333333,29,2.247593558690063,2.0126254406225907,0.1640517354011535
mu,5.083333333333333,30,2.307073479203082,1.9449273200864408,0.16027430295944212
mu,5.083333333333333,31,2.3546133995965244,2.177971248409584,0.16720608770847323
mu,5.083333333333333,32,2.1399683976802617,1.8869487924194779,0.16428110040724278
mu,5.083333333333333,33,2.0656835626853454,1.8236907390846948,0.15936122760176658
mu,5.083333333333333,34,2.2133969266885023,1.9727665033040669,0.17219143360853192
mu,5.083333333333333,35,2.1237111512439224,1.8672089496059048,0.1564990822225809
mu,5.083333333333333,36,2.309460448644633,2.0529174822731235,0.17531434670090676
mu,5.083333333333333,37,2.3847178610411963,2.1818939647678395,0.15936833471059797
mu,5.083333333333333,38,2.3607017983147784,2.1328957270220084,0.1648532763123512
mu,5.083333333333333,39,2.288832686782551,2.1718319187039192,0.16033257171511645
mu,5.083333333333333,40,2.129738725632487,1.9266954819004738,0.159761406108737
mu,5.083333333333333,41,2.4039246612013603,2.280208304774666,0.180730015039444
mu,5.083333333333333,42,2.166089497748594,1.9537695624553297,0.16021118499338627
mu,5.083333333333333,43,2.4354003133627042,2.0676660912260925,0.1502715900540352
mu,5.083333333333333,44,2.322018592569245,1.9435863960106339,0.15727670565247534
mu,5.083333333333333,45,2.6137927064460147,2.21531948152246,0.16233527734875675
mu,5.083333333333333,46,2.508777148470849,2.2042170896632296,0.1662255451083183
mu,5.083333333333333,47,2.3252333997067813,2.2222967674221987,0.16415921971201894
mu,5.083333333333333,48,2.135966542449866,1.8786330175798849,0.1628360666334629
mu,5.083333333333333,49,2.246439469932745,1.9147625421158967,0.16840797364711763
mu,5.083333333333333,50,2.2770060101865734,1.920301043403045,0.15713879913091658
mu,5.083333333333333,51,2.2252781719279553,2.0608846147100124,0.17743281349539755
mu,5.083333333333333,52,2.1774722571726013,2.046050559950631,0.17508513107895846
mu,5.083333333333333,53,2.321377826765368,1.9879586412779826,0.1582733783870935
mu,5.083333333333333,54,2.2873036805278772,2.0066932501523205,0.1646723836660385
mu,5.083333333333333,55,2.202583230463395,1.9902432489822903,0.16906377747654916
mu,5.083333333333333,56,2.3340579546348046,1.9633656824974768,0.15965034812688828
mu,5.083333333333333,57,2.166836395843586,1.977486681377247,0.16920302510261534
mu,5.083333333333333,58,2.2173242537587434,1.8056299234952622,0.16477516442537304
